episode,reward,mttd,mttr,fpr,csr,compromised
1,-63.94,4,200,0.0230,0,6
2,-152.08,16,31,0.0314,1,1
3,-908.38,12,200,0.0273,0,0
4,-207.16,6,48,0.0296,1,1
5,-926.94,12,200,0.0306,0,0
6,-881.77,14,200,0.0253,0,0
7,-57.24,10,11,0.0340,1,1
8,-909.89,5,200,0.0293,0,0
9,-897.74,8,200,0.0274,0,0
10,-85.51,7,25,0.0276,1,1
11,-164.72,5,41,0.0246,1,1
12,-912.07,8,200,0.0274,0,0
13,-51.13,9,200,0.0158,0,4
14,-180.23,8,200,0.0352,0,2
15,-17.02,6,7,0.0242,1,1
16,-912.12,24,200,0.0292,0,0
17,-33.21,15,18,0.0174,1,1
18,-840.29,8,200,0.0262,0,0
19,-48.02,9,16,0.0259,1,1
20,-956.29,4,200,0.0323,0,0
21,-922.31,7,200,0.0276,0,0
22,-47.63,6,200,0.0178,0,5
23,-235.09,9,61,0.0241,1,1
24,-814.39,6,200,0.0252,0,0
25,-152.34,9,30,0.0334,1,1
26,-114.94,15,33,0.0227,1,1
27,-919.88,5,200,0.0274,0,0
28,-44.65,13,200,0.0238,0,7
29,-884.96,9,200,0.0284,0,0
30,-836.44,12,200,0.0249,0,0
31,-861.24,5,200,0.0271,0,0
32,-914.14,17,200,0.0281,0,0
33,-106.82,13,29,0.0236,1,1
34,-73.02,18,20,0.0293,1,1
35,-101.65,9,23,0.0306,1,2
36,-156.07,8,34,0.0290,1,1
37,-167.80,9,38,0.0286,1,1
38,-765.90,7,200,0.0244,0,0
39,-794.06,5,200,0.0255,0,0
40,-112.98,5,32,0.0247,1,2
41,-854.26,8,200,0.0265,0,0
42,-890.12,6,200,0.0269,0,0
43,-839.78,9,200,0.0255,0,0
44,-96.27,7,17,0.0321,1,1
45,-110.87,5,24,0.0305,1,1
46,-69.49,10,37,0.0135,1,1
47,-819.47,6,200,0.0253,0,0
48,-817.11,5,200,0.0249,0,0
49,-99.28,12,200,0.0250,0,4
50,-58.08,10,36,0.0138,1,1
51,-869.55,10,200,0.0260,0,0
52,-841.64,12,200,0.0279,0,0
53,-79.51,8,25,0.0260,1,1
