Training: single_drl, seed=123, episodes=10000
Episode    100 | Reward: -145.16 | MTTD: 200
Episode    200 | Reward: -374.93 | MTTD: 200
Episode    300 | Reward: -169.77 | MTTD: 200
Episode    400 | Reward: -199.54 | MTTD: 200
Episode    500 | Reward: -641.20 | MTTD: 200
Episode    600 | Reward: -181.36 | MTTD: 200
Episode    700 | Reward: -151.66 | MTTD: 200
Episode    800 | Reward: -63.78 | MTTD: 200
Episode    900 | Reward: -186.32 | MTTD: 200
Episode   1000 | Reward: -702.68 | MTTD: 200
Episode   1100 | Reward: -48.96 | MTTD: 200
Episode   1200 | Reward: -85.01 | MTTD: 200
Episode   1300 | Reward: -78.36 | MTTD: 200
Episode   1400 | Reward: -769.84 | MTTD: 200
Episode   1500 | Reward: -221.98 | MTTD: 200
Episode   1600 | Reward: -138.22 | MTTD: 200
Episode   1700 | Reward: -759.33 | MTTD: 200
Episode   1800 | Reward: -150.79 | MTTD: 200
Episode   1900 | Reward: -122.75 | MTTD: 200
Episode   2000 | Reward: -71.65 | MTTD: 200
Episode   2100 | Reward: -83.82 | MTTD: 200
Episode   2200 | Reward: -80.29 | MTTD: 200
Episode   2300 | Reward: -80.20 | MTTD: 200
Episode   2400 | Reward: -800.30 | MTTD: 200
Episode   2500 | Reward: -41.43 | MTTD: 200
Episode   2600 | Reward: -97.12 | MTTD: 200
Episode   2700 | Reward: -70.61 | MTTD: 200
Episode   2800 | Reward: -280.51 | MTTD: 200
Episode   2900 | Reward: -309.26 | MTTD: 200
Episode   3000 | Reward: -182.59 | MTTD: 200
Episode   3100 | Reward: -260.97 | MTTD: 200
Episode   3200 | Reward: -747.07 | MTTD: 200
Episode   3300 | Reward: -204.36 | MTTD: 200
Episode   3400 | Reward: -260.55 | MTTD: 200
Episode   3500 | Reward: -780.30 | MTTD: 200
Episode   3600 | Reward: -84.95 | MTTD: 200
Episode   3700 | Reward: -73.15 | MTTD: 200
Episode   3800 | Reward: -670.59 | MTTD: 200
Episode   3900 | Reward: -356.92 | MTTD: 200
Episode   4000 | Reward: -89.83 | MTTD: 200
Episode   4100 | Reward: -83.60 | MTTD: 200
Episode   4200 | Reward: -184.67 | MTTD: 200
Episode   4300 | Reward: -843.67 | MTTD: 200
Episode   4400 | Reward: -154.98 | MTTD: 200
Episode   4500 | Reward: -126.61 | MTTD: 200
Episode   4600 | Reward: -215.97 | MTTD: 200
Episode   4700 | Reward: -107.62 | MTTD: 200
Episode   4800 | Reward: -246.30 | MTTD: 200
Episode   4900 | Reward: -258.36 | MTTD: 200
Episode   5000 | Reward: -231.01 | MTTD: 200
Episode   5100 | Reward: -261.30 | MTTD: 200
Episode   5200 | Reward: -188.07 | MTTD: 200
Episode   5300 | Reward: -208.34 | MTTD: 200
Episode   5400 | Reward: -11.74 | MTTD: 200
Episode   5500 | Reward: -215.46 | MTTD: 200
Episode   5600 | Reward: -112.26 | MTTD: 200
Episode   5700 | Reward: -111.74 | MTTD: 200
Episode   5800 | Reward: -858.23 | MTTD: 200
Episode   5900 | Reward: -155.52 | MTTD: 200
Episode   6000 | Reward: -48.67 | MTTD: 200
Episode   6100 | Reward: -803.07 | MTTD: 200
Episode   6200 | Reward: -309.80 | MTTD: 200
Episode   6300 | Reward: -750.07 | MTTD: 200
Episode   6400 | Reward: -808.31 | MTTD: 200
Episode   6500 | Reward: -735.89 | MTTD: 200
Episode   6600 | Reward: -135.69 | MTTD: 200
Episode   6700 | Reward: -127.16 | MTTD: 200
Episode   6800 | Reward: -806.42 | MTTD: 200
Episode   6900 | Reward: -34.06 | MTTD: 200
Episode   7000 | Reward: -212.78 | MTTD: 200
Episode   7100 | Reward: -172.63 | MTTD: 200
Episode   7200 | Reward: -72.02 | MTTD: 200
Episode   7300 | Reward: -82.87 | MTTD: 200
Episode   7400 | Reward: -297.02 | MTTD: 200
Episode   7500 | Reward: -394.01 | MTTD: 200
Episode   7600 | Reward: -329.90 | MTTD: 200
Episode   7700 | Reward: -50.48 | MTTD: 200
Episode   7800 | Reward: -54.59 | MTTD: 200
Episode   7900 | Reward: -54.21 | MTTD: 200
Episode   8000 | Reward: -120.80 | MTTD: 200
Episode   8100 | Reward: -775.96 | MTTD: 200
Episode   8200 | Reward: -189.13 | MTTD: 200
Episode   8300 | Reward: -243.15 | MTTD: 200
Episode   8400 | Reward: -48.89 | MTTD: 200
Episode   8500 | Reward: -81.19 | MTTD: 200
Episode   8600 | Reward: -72.75 | MTTD: 200
Episode   8700 | Reward: -97.42 | MTTD: 200
Episode   8800 | Reward: -113.36 | MTTD: 200
Episode   8900 | Reward: -92.18 | MTTD: 200
Episode   9000 | Reward: -747.72 | MTTD: 200
Episode   9100 | Reward: -341.15 | MTTD: 200
Episode   9200 | Reward: -804.25 | MTTD: 200
Episode   9300 | Reward: -81.65 | MTTD: 200
Episode   9400 | Reward: -306.40 | MTTD: 200
Episode   9500 | Reward: -117.68 | MTTD: 200
Episode   9600 | Reward: -431.04 | MTTD: 200
Episode   9700 | Reward: -25.92 | MTTD: 200
Episode   9800 | Reward: -129.92 | MTTD: 200
Episode   9900 | Reward: -765.94 | MTTD: 200
Episode  10000 | Reward: -788.58 | MTTD: 200
Single-DRL done. Saved to checkpoints/train_single_drl_seed123.csv
Done in 6.6 min
