Training: iql, seed=456, episodes=10000
Episode    500 | Reward: -123.11 | MTTD: 200
Episode   1000 | Reward: -24.91 | MTTD: 200
Episode   1500 | Reward: -19.95 | MTTD: 200
Episode   2000 | Reward: -16.50 | MTTD: 200
Episode   2500 | Reward: -12.44 | MTTD: 200
Episode   3000 | Reward: -0.12 | MTTD: 200
Episode   3500 | Reward: -15.39 | MTTD: 200
Episode   4000 | Reward: -10.82 | MTTD: 200
Episode   4500 | Reward: -16.33 | MTTD: 200
Episode   5000 | Reward: -14.74 | MTTD: 200
Episode   5500 | Reward: -15.96 | MTTD: 200
Episode   6000 | Reward: -11.23 | MTTD: 200
Episode   6500 | Reward: -0.08 | MTTD: 200
Episode   7000 | Reward: -0.98 | MTTD: 200
Episode   7500 | Reward: 1.84 | MTTD: 200
Episode   8000 | Reward: -15.28 | MTTD: 200
Episode   8500 | Reward: -3.15 | MTTD: 200
Episode   9000 | Reward: 1.93 | MTTD: 200
Episode   9500 | Reward: -0.27 | MTTD: 200
Episode  10000 | Reward: -0.87 | MTTD: 200
IQL done. Saved to checkpoints/train_iql_seed456.csv
Done in 138.2 min
