============================================
HMARL-SOC Multi-Seed Training (Mac M4 MPS)
Episodes per seed: 10000
Seeds: 123, 456, 789, 1024
Start time: Sun Feb 22 16:11:54 +07 2026
============================================

========================================
Starting seed 123 at Sun Feb 22 16:11:54 +07 2026
========================================
Device: mps, Seed: 123
Starting training: 10000 episodes, K=10
============================================================
Episode   5500 | Avg Reward:     8.96 | MTTD:   9 | MTTR:  14 | FPR: 0.500 | CSR: 1
Episode   5600 | Avg Reward:     8.12 | MTTD:  17 | MTTR:  45 | FPR: 0.138 | CSR: 1
Episode   5700 | Avg Reward:     8.17 | MTTD:   7 | MTTR: 200 | FPR: 0.429 | CSR: 0
Episode   5800 | Avg Reward:     8.02 | MTTD:   8 | MTTR: 200 | FPR: 0.167 | CSR: 0
Episode   5900 | Avg Reward:     9.21 | MTTD:   8 | MTTR:  22 | FPR: 0.000 | CSR: 1
Episode   6000 | Avg Reward:     7.59 | MTTD:  16 | MTTR:  35 | FPR: 0.100 | CSR: 1
Episode   6100 | Avg Reward:     8.77 | MTTD:   8 | MTTR:  63 | FPR: 0.088 | CSR: 1
Episode   6200 | Avg Reward:     7.41 | MTTD:  10 | MTTR:  63 | FPR: 0.000 | CSR: 1
Episode   6300 | Avg Reward:     8.21 | MTTD:  12 | MTTR: 200 | FPR: 0.000 | CSR: 0
Episode   6400 | Avg Reward:     8.89 | MTTD:   7 | MTTR:  25 | FPR: 0.250 | CSR: 1
Episode   6500 | Avg Reward:     8.08 | MTTD:   6 | MTTR:  11 | FPR: 0.000 | CSR: 1
Episode   6600 | Avg Reward:     7.82 | MTTD:   6 | MTTR: 200 | FPR: 0.091 | CSR: 0
Episode   6700 | Avg Reward:     8.42 | MTTD:   8 | MTTR:  44 | FPR: 0.286 | CSR: 1
Episode   6800 | Avg Reward:     8.97 | MTTD:  21 | MTTR:  27 | FPR: 0.050 | CSR: 1
Episode   6900 | Avg Reward:     9.18 | MTTD:   5 | MTTR:  27 | FPR: 0.062 | CSR: 1
Episode   7000 | Avg Reward:     7.41 | MTTD:   5 | MTTR:  10 | FPR: 0.125 | CSR: 1
Episode   7100 | Avg Reward:     8.50 | MTTD:   4 | MTTR:   4 | FPR: 0.000 | CSR: 1
Episode   7200 | Avg Reward:     8.52 | MTTD:   7 | MTTR:  24 | FPR: 0.150 | CSR: 1
Episode   7300 | Avg Reward:     9.11 | MTTD:   7 | MTTR:  36 | FPR: 0.261 | CSR: 1
Episode   7400 | Avg Reward:     9.12 | MTTD:   8 | MTTR:  19 | FPR: 0.000 | CSR: 1
Episode   7500 | Avg Reward:     8.60 | MTTD:  14 | MTTR:  18 | FPR: 0.083 | CSR: 1
Episode   7600 | Avg Reward:     7.82 | MTTD:   8 | MTTR:  13 | FPR: 0.000 | CSR: 1
Episode   7700 | Avg Reward:     8.53 | MTTD:  15 | MTTR:  26 | FPR: 0.000 | CSR: 1
Episode   7800 | Avg Reward:     9.43 | MTTD:   5 | MTTR:   5 | FPR: 0.000 | CSR: 1
