Training: rule_soar, seed=123, episodes=10000
Episode    100 | Reward: -1936.03 | MTTD: 200
Episode    200 | Reward: -2035.41 | MTTD: 200
Episode    300 | Reward: -1933.96 | MTTD: 200
Episode    400 | Reward: -208.80 | MTTD: 200
Episode    500 | Reward: -175.97 | MTTD: 200
Episode    600 | Reward: -1953.41 | MTTD: 200
Episode    700 | Reward: -2089.63 | MTTD: 200
Episode    800 | Reward: -311.08 | MTTD: 200
Episode    900 | Reward: -229.99 | MTTD: 200
Episode   1000 | Reward: -154.30 | MTTD: 200
Episode   1100 | Reward: -342.21 | MTTD: 200
Episode   1200 | Reward: -149.78 | MTTD: 200
Episode   1300 | Reward: -1943.36 | MTTD: 200
Episode   1400 | Reward: -177.74 | MTTD: 200
Episode   1500 | Reward: -1979.79 | MTTD: 200
Episode   1600 | Reward: -1998.44 | MTTD: 200
Episode   1700 | Reward: -129.96 | MTTD: 200
Episode   1800 | Reward: -135.00 | MTTD: 200
Episode   1900 | Reward: -197.72 | MTTD: 200
Episode   2000 | Reward: -132.46 | MTTD: 200
Episode   2100 | Reward: -1997.59 | MTTD: 200
Episode   2200 | Reward: -199.96 | MTTD: 200
Episode   2300 | Reward: -252.82 | MTTD: 200
Episode   2400 | Reward: -1987.90 | MTTD: 200
Episode   2500 | Reward: -2105.73 | MTTD: 200
Episode   2600 | Reward: -88.92 | MTTD: 200
Episode   2700 | Reward: -1968.28 | MTTD: 200
Episode   2800 | Reward: -114.86 | MTTD: 200
Episode   2900 | Reward: -2039.62 | MTTD: 200
Episode   3000 | Reward: -176.30 | MTTD: 200
Episode   3100 | Reward: -1942.92 | MTTD: 200
Episode   3200 | Reward: -196.90 | MTTD: 200
Episode   3300 | Reward: -240.87 | MTTD: 200
Episode   3400 | Reward: -1966.20 | MTTD: 200
Episode   3500 | Reward: -1930.35 | MTTD: 200
Episode   3600 | Reward: -1958.86 | MTTD: 200
Episode   3700 | Reward: -194.28 | MTTD: 200
Episode   3800 | Reward: -2040.43 | MTTD: 200
Episode   3900 | Reward: -2062.29 | MTTD: 200
Episode   4000 | Reward: -115.94 | MTTD: 200
Episode   4100 | Reward: -79.00 | MTTD: 200
Episode   4200 | Reward: -2037.71 | MTTD: 200
Episode   4300 | Reward: -2015.83 | MTTD: 200
Episode   4400 | Reward: -176.35 | MTTD: 200
Episode   4500 | Reward: -170.76 | MTTD: 200
Episode   4600 | Reward: -2018.52 | MTTD: 200
Episode   4700 | Reward: -197.60 | MTTD: 200
Episode   4800 | Reward: -2023.70 | MTTD: 200
Episode   4900 | Reward: -1990.65 | MTTD: 200
Episode   5000 | Reward: -1937.12 | MTTD: 200
Episode   5100 | Reward: -189.63 | MTTD: 200
Episode   5200 | Reward: -258.54 | MTTD: 200
Episode   5300 | Reward: -1980.74 | MTTD: 200
Episode   5400 | Reward: -1979.79 | MTTD: 200
Episode   5500 | Reward: -1997.20 | MTTD: 200
Episode   5600 | Reward: -247.16 | MTTD: 200
Episode   5700 | Reward: -1929.36 | MTTD: 200
Episode   5800 | Reward: -172.19 | MTTD: 200
Episode   5900 | Reward: -1994.48 | MTTD: 200
Episode   6000 | Reward: -2011.06 | MTTD: 200
Episode   6100 | Reward: -135.45 | MTTD: 200
Episode   6200 | Reward: -63.62 | MTTD: 200
Episode   6300 | Reward: -1971.38 | MTTD: 200
Episode   6400 | Reward: -1949.69 | MTTD: 200
Episode   6500 | Reward: -157.20 | MTTD: 200
Episode   6600 | Reward: -1986.50 | MTTD: 200
Episode   6700 | Reward: -1947.37 | MTTD: 200
Episode   6800 | Reward: -1931.62 | MTTD: 200
Episode   6900 | Reward: -291.02 | MTTD: 200
Episode   7000 | Reward: -118.62 | MTTD: 200
Episode   7100 | Reward: -2041.70 | MTTD: 200
Episode   7200 | Reward: -1936.09 | MTTD: 200
Episode   7300 | Reward: -26.82 | MTTD: 200
Episode   7400 | Reward: -1972.66 | MTTD: 200
Episode   7500 | Reward: -175.18 | MTTD: 200
Episode   7600 | Reward: -435.74 | MTTD: 200
Episode   7700 | Reward: -157.39 | MTTD: 200
Episode   7800 | Reward: -2051.41 | MTTD: 200
Episode   7900 | Reward: -2056.24 | MTTD: 200
Episode   8000 | Reward: -1992.95 | MTTD: 200
Episode   8100 | Reward: -1985.92 | MTTD: 200
Episode   8200 | Reward: -186.90 | MTTD: 200
Episode   8300 | Reward: -237.89 | MTTD: 200
Episode   8400 | Reward: -1972.13 | MTTD: 200
Episode   8500 | Reward: -326.62 | MTTD: 200
Episode   8600 | Reward: -140.18 | MTTD: 200
Episode   8700 | Reward: -2056.11 | MTTD: 200
Episode   8800 | Reward: -141.14 | MTTD: 200
Episode   8900 | Reward: -1991.43 | MTTD: 200
Episode   9000 | Reward: -197.88 | MTTD: 200
Episode   9100 | Reward: -2054.82 | MTTD: 200
Episode   9200 | Reward: -2020.35 | MTTD: 200
Episode   9300 | Reward: -221.88 | MTTD: 200
Episode   9400 | Reward: -2040.61 | MTTD: 200
Episode   9500 | Reward: -184.81 | MTTD: 200
Episode   9600 | Reward: -1949.59 | MTTD: 200
Episode   9700 | Reward: -1995.78 | MTTD: 200
Episode   9800 | Reward: -135.15 | MTTD: 200
Episode   9900 | Reward: -160.39 | MTTD: 200
Episode  10000 | Reward: -2048.19 | MTTD: 200
Rule-SOAR done. Saved to checkpoints/train_rule_soar_seed123.csv
Done in 4.4 min
