Device: mps, Seed: 42, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode   4100 | Avg Reward:    -0.61 | MTTD:  57 | MTTR: 200 | FPR: 0.003 | CSR: 0 | 2.7 ep/s | ETA: 37m
Episode   4200 | Avg Reward:    -0.74 | MTTD:  12 | MTTR: 108 | FPR: 0.002 | CSR: 1 | 2.7 ep/s | ETA: 36m
Episode   4300 | Avg Reward:    -0.77 | MTTD: 105 | MTTR: 108 | FPR: 0.001 | CSR: 1 | 2.7 ep/s | ETA: 35m
Episode   4400 | Avg Reward:    -1.73 | MTTD:  23 | MTTR:  59 | FPR: 0.001 | CSR: 1 | 2.7 ep/s | ETA: 34m
Episode   4500 | Avg Reward:    -1.52 | MTTD:  57 | MTTR: 166 | FPR: 0.001 | CSR: 1 | 2.8 ep/s | ETA: 33m
Episode   4600 | Avg Reward:     0.25 | MTTD:  50 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 32m
Episode   4700 | Avg Reward:     1.94 | MTTD:  23 | MTTR:  77 | FPR: 0.002 | CSR: 1 | 2.8 ep/s | ETA: 31m
Episode   4800 | Avg Reward:     2.16 | MTTD:  12 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.9 ep/s | ETA: 30m
Episode   4900 | Avg Reward:     1.83 | MTTD:  49 | MTTR: 116 | FPR: 0.000 | CSR: 1 | 2.9 ep/s | ETA: 29m
Episode   5000 | Avg Reward:     1.65 | MTTD:  46 | MTTR: 157 | FPR: 0.001 | CSR: 1 | 2.9 ep/s | ETA: 29m
Episode   5100 | Avg Reward:     2.61 | MTTD:  16 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.9 ep/s | ETA: 28m
Episode   5200 | Avg Reward:     2.60 | MTTD: 200 | MTTR: 200 | FPR: 0.004 | CSR: 0 | 3.0 ep/s | ETA: 27m
Episode   5300 | Avg Reward:     3.88 | MTTD:  13 | MTTR:  97 | FPR: 0.000 | CSR: 1 | 3.0 ep/s | ETA: 26m
Episode   5400 | Avg Reward:     2.72 | MTTD:  30 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.0 ep/s | ETA: 25m
Episode   5500 | Avg Reward:     4.02 | MTTD:  28 | MTTR:  92 | FPR: 0.001 | CSR: 1 | 3.0 ep/s | ETA: 25m
Episode   5600 | Avg Reward:     5.30 | MTTD:  14 | MTTR:  55 | FPR: 0.001 | CSR: 1 | 3.1 ep/s | ETA: 24m
Episode   5700 | Avg Reward:     4.22 | MTTD:  13 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.1 ep/s | ETA: 23m
Episode   5800 | Avg Reward:     5.31 | MTTD:  15 | MTTR:  67 | FPR: 0.001 | CSR: 1 | 3.1 ep/s | ETA: 23m
