Training: mappo, seed=456, episodes=10000
Episode    100 | Reward: -41.05 | MTTD: 200
Episode    200 | Reward: -143.12 | MTTD: 200
Episode    300 | Reward: -977.41 | MTTD: 200
Episode    400 | Reward: -34.93 | MTTD: 200
Episode    500 | Reward: -45.94 | MTTD: 200
Episode    600 | Reward: -61.80 | MTTD: 200
Episode    700 | Reward: -169.53 | MTTD: 200
Episode    800 | Reward: -69.80 | MTTD: 200
Episode    900 | Reward: -143.49 | MTTD: 200
Episode   1000 | Reward: -79.34 | MTTD: 200
Episode   1100 | Reward: -71.98 | MTTD: 200
Episode   1200 | Reward: -884.53 | MTTD: 200
Episode   1300 | Reward: -232.73 | MTTD: 200
Episode   1400 | Reward: -31.57 | MTTD: 200
Episode   1500 | Reward: -83.35 | MTTD: 200
Episode   1600 | Reward: -915.77 | MTTD: 200
Episode   1700 | Reward: -18.06 | MTTD: 200
Episode   1800 | Reward: -90.58 | MTTD: 200
Episode   1900 | Reward: -934.35 | MTTD: 200
Episode   2000 | Reward: -85.48 | MTTD: 200
Episode   2100 | Reward: -49.53 | MTTD: 200
Episode   2200 | Reward: -138.10 | MTTD: 200
Episode   2300 | Reward: -115.68 | MTTD: 200
Episode   2400 | Reward: -56.46 | MTTD: 200
Episode   2500 | Reward: -170.71 | MTTD: 200
Episode   2600 | Reward: -89.55 | MTTD: 200
Episode   2700 | Reward: -79.93 | MTTD: 200
Episode   2800 | Reward: -147.72 | MTTD: 200
Episode   2900 | Reward: -50.79 | MTTD: 200
Episode   3000 | Reward: -951.15 | MTTD: 200
Episode   3100 | Reward: -894.35 | MTTD: 200
Episode   3200 | Reward: -80.75 | MTTD: 200
Episode   3300 | Reward: -205.04 | MTTD: 200
Episode   3400 | Reward: -144.12 | MTTD: 200
Episode   3500 | Reward: -110.04 | MTTD: 200
Episode   3600 | Reward: -56.70 | MTTD: 200
Episode   3700 | Reward: -127.97 | MTTD: 200
Episode   3800 | Reward: -955.39 | MTTD: 200
Episode   3900 | Reward: -170.15 | MTTD: 200
Episode   4000 | Reward: -50.68 | MTTD: 200
Episode   4100 | Reward: -127.66 | MTTD: 200
Episode   4200 | Reward: -69.79 | MTTD: 200
Episode   4300 | Reward: -110.30 | MTTD: 200
Episode   4400 | Reward: -89.71 | MTTD: 200
Episode   4500 | Reward: -278.98 | MTTD: 200
Episode   4600 | Reward: -114.11 | MTTD: 200
Episode   4700 | Reward: -96.13 | MTTD: 200
Episode   4800 | Reward: -132.80 | MTTD: 200
Episode   4900 | Reward: -94.61 | MTTD: 200
Episode   5000 | Reward: -83.85 | MTTD: 200
Episode   5100 | Reward: -136.51 | MTTD: 200
Episode   5200 | Reward: -104.10 | MTTD: 200
Episode   5300 | Reward: -43.93 | MTTD: 200
Episode   5400 | Reward: -901.25 | MTTD: 200
Episode   5500 | Reward: -160.71 | MTTD: 200
Episode   5600 | Reward: -175.35 | MTTD: 200
Episode   5700 | Reward: -109.08 | MTTD: 200
Episode   5800 | Reward: -52.24 | MTTD: 200
Episode   5900 | Reward: -103.98 | MTTD: 200
Episode   6000 | Reward: -945.65 | MTTD: 200
Episode   6100 | Reward: -123.96 | MTTD: 200
Episode   6200 | Reward: -81.31 | MTTD: 200
Episode   6300 | Reward: -153.53 | MTTD: 200
Episode   6400 | Reward: -113.04 | MTTD: 200
Episode   6500 | Reward: -96.42 | MTTD: 200
Episode   6600 | Reward: -94.97 | MTTD: 200
Episode   6700 | Reward: -238.42 | MTTD: 200
Episode   6800 | Reward: -77.85 | MTTD: 200
Episode   6900 | Reward: -151.82 | MTTD: 200
Episode   7000 | Reward: -951.67 | MTTD: 200
Episode   7100 | Reward: -968.87 | MTTD: 200
Episode   7200 | Reward: -934.63 | MTTD: 200
Episode   7300 | Reward: -913.64 | MTTD: 200
Episode   7400 | Reward: -95.98 | MTTD: 200
Episode   7500 | Reward: -53.18 | MTTD: 200
Episode   7600 | Reward: -864.72 | MTTD: 200
Episode   7700 | Reward: -47.21 | MTTD: 200
Episode   7800 | Reward: -116.40 | MTTD: 200
Episode   7900 | Reward: -98.12 | MTTD: 200
Episode   8000 | Reward: -35.79 | MTTD: 200
Episode   8100 | Reward: -153.89 | MTTD: 200
Episode   8200 | Reward: -59.26 | MTTD: 200
Episode   8300 | Reward: -120.06 | MTTD: 200
Episode   8400 | Reward: -900.17 | MTTD: 200
Episode   8500 | Reward: -117.45 | MTTD: 200
Episode   8600 | Reward: -127.75 | MTTD: 200
Episode   8700 | Reward: -69.70 | MTTD: 200
Episode   8800 | Reward: -105.62 | MTTD: 200
Episode   8900 | Reward: -160.21 | MTTD: 200
Episode   9000 | Reward: -952.65 | MTTD: 200
Episode   9100 | Reward: -91.20 | MTTD: 200
Episode   9200 | Reward: -126.69 | MTTD: 200
Episode   9300 | Reward: -54.05 | MTTD: 200
Episode   9400 | Reward: -104.59 | MTTD: 200
Episode   9500 | Reward: -105.56 | MTTD: 200
Episode   9600 | Reward: -248.04 | MTTD: 200
Episode   9700 | Reward: -57.12 | MTTD: 200
Episode   9800 | Reward: -118.89 | MTTD: 200
Episode   9900 | Reward: -36.61 | MTTD: 200
Episode  10000 | Reward: -869.92 | MTTD: 200
MAPPO done. Saved to checkpoints/train_mappo_seed456.csv
Done in 10.5 min
