Training: mappo, seed=123, episodes=10000
Episode    100 | Reward: -66.46 | MTTD: 200
Episode    200 | Reward: -988.10 | MTTD: 200
Episode    300 | Reward: -122.39 | MTTD: 200
Episode    400 | Reward: -157.04 | MTTD: 200
Episode    500 | Reward: -164.23 | MTTD: 200
Episode    600 | Reward: -57.40 | MTTD: 200
Episode    700 | Reward: -89.67 | MTTD: 200
Episode    800 | Reward: -66.72 | MTTD: 200
Episode    900 | Reward: -883.08 | MTTD: 200
Episode   1000 | Reward: -982.37 | MTTD: 200
Episode   1100 | Reward: -152.76 | MTTD: 200
Episode   1200 | Reward: -97.08 | MTTD: 200
Episode   1300 | Reward: -290.09 | MTTD: 200
Episode   1400 | Reward: -115.42 | MTTD: 200
Episode   1500 | Reward: -55.47 | MTTD: 200
Episode   1600 | Reward: -105.85 | MTTD: 200
Episode   1700 | Reward: -68.74 | MTTD: 200
Episode   1800 | Reward: -48.79 | MTTD: 200
Episode   1900 | Reward: -926.63 | MTTD: 200
Episode   2000 | Reward: -954.22 | MTTD: 200
Episode   2100 | Reward: -919.54 | MTTD: 200
Episode   2200 | Reward: -78.23 | MTTD: 200
Episode   2300 | Reward: -81.90 | MTTD: 200
Episode   2400 | Reward: -976.64 | MTTD: 200
Episode   2500 | Reward: -79.42 | MTTD: 200
Episode   2600 | Reward: -147.39 | MTTD: 200
Episode   2700 | Reward: -67.10 | MTTD: 200
Episode   2800 | Reward: -179.51 | MTTD: 200
Episode   2900 | Reward: -82.18 | MTTD: 200
Episode   3000 | Reward: -1023.66 | MTTD: 200
Episode   3100 | Reward: -101.11 | MTTD: 200
Episode   3200 | Reward: -56.73 | MTTD: 200
Episode   3300 | Reward: -139.11 | MTTD: 200
Episode   3400 | Reward: -51.00 | MTTD: 200
Episode   3500 | Reward: -76.69 | MTTD: 200
Episode   3600 | Reward: -61.05 | MTTD: 200
Episode   3700 | Reward: -949.09 | MTTD: 200
Episode   3800 | Reward: -130.80 | MTTD: 200
Episode   3900 | Reward: -151.29 | MTTD: 200
Episode   4000 | Reward: -972.18 | MTTD: 200
Episode   4100 | Reward: -962.55 | MTTD: 200
Episode   4200 | Reward: -49.16 | MTTD: 200
Episode   4300 | Reward: -20.14 | MTTD: 200
Episode   4400 | Reward: -162.31 | MTTD: 200
Episode   4500 | Reward: -920.15 | MTTD: 200
Episode   4600 | Reward: -60.68 | MTTD: 200
Episode   4700 | Reward: -161.45 | MTTD: 200
Episode   4800 | Reward: -87.87 | MTTD: 200
Episode   4900 | Reward: -60.96 | MTTD: 200
Episode   5000 | Reward: -180.39 | MTTD: 200
Episode   5100 | Reward: -58.72 | MTTD: 200
Episode   5200 | Reward: -109.31 | MTTD: 200
Episode   5300 | Reward: -34.97 | MTTD: 200
Episode   5400 | Reward: -114.18 | MTTD: 200
Episode   5500 | Reward: -69.06 | MTTD: 200
Episode   5600 | Reward: -933.45 | MTTD: 200
Episode   5700 | Reward: -84.32 | MTTD: 200
Episode   5800 | Reward: -85.46 | MTTD: 200
Episode   5900 | Reward: -37.97 | MTTD: 200
Episode   6000 | Reward: -176.35 | MTTD: 200
Episode   6100 | Reward: -52.41 | MTTD: 200
Episode   6200 | Reward: -32.04 | MTTD: 200
Episode   6300 | Reward: -113.65 | MTTD: 200
Episode   6400 | Reward: -48.91 | MTTD: 200
Episode   6500 | Reward: -39.28 | MTTD: 200
Episode   6600 | Reward: -915.31 | MTTD: 200
Episode   6700 | Reward: -78.17 | MTTD: 200
Episode   6800 | Reward: -114.50 | MTTD: 200
Episode   6900 | Reward: -126.25 | MTTD: 200
Episode   7000 | Reward: -130.99 | MTTD: 200
Episode   7100 | Reward: -67.13 | MTTD: 200
Episode   7200 | Reward: -134.99 | MTTD: 200
Episode   7300 | Reward: -947.42 | MTTD: 200
Episode   7400 | Reward: -91.33 | MTTD: 200
Episode   7500 | Reward: -1004.84 | MTTD: 200
Episode   7600 | Reward: -86.52 | MTTD: 200
Episode   7700 | Reward: -51.95 | MTTD: 200
Episode   7800 | Reward: -109.68 | MTTD: 200
Episode   7900 | Reward: -63.44 | MTTD: 200
Episode   8000 | Reward: -88.12 | MTTD: 200
Episode   8100 | Reward: -905.50 | MTTD: 200
Episode   8200 | Reward: -118.42 | MTTD: 200
Episode   8300 | Reward: -41.35 | MTTD: 200
Episode   8400 | Reward: -75.12 | MTTD: 200
Episode   8500 | Reward: -157.75 | MTTD: 200
Episode   8600 | Reward: -88.78 | MTTD: 200
Episode   8700 | Reward: -138.75 | MTTD: 200
Episode   8800 | Reward: -35.08 | MTTD: 200
Episode   8900 | Reward: -98.50 | MTTD: 200
Episode   9000 | Reward: -80.44 | MTTD: 200
Episode   9100 | Reward: -117.07 | MTTD: 200
Episode   9200 | Reward: -148.23 | MTTD: 200
Episode   9300 | Reward: -27.12 | MTTD: 200
Episode   9400 | Reward: -210.96 | MTTD: 200
Episode   9500 | Reward: -108.08 | MTTD: 200
Episode   9600 | Reward: -1014.53 | MTTD: 200
Episode   9700 | Reward: -85.61 | MTTD: 200
Episode   9800 | Reward: -178.55 | MTTD: 200
Episode   9900 | Reward: -107.44 | MTTD: 200
Episode  10000 | Reward: -48.29 | MTTD: 200
MAPPO done. Saved to checkpoints/train_mappo_seed123.csv
Done in 8.3 min
