Device: cpu, Seed: 1024
Starting QMIX training: 10000 episodes
============================================================
Episode    500 | Avg Reward:   -78.29 | MTTD:   5 | MTTR:  33 | FPR: 0.011 | CSR: 1
Episode   1000 | Avg Reward:   -62.78 | MTTD:  10 | MTTR:  13 | FPR: 0.007 | CSR: 1
Episode   1500 | Avg Reward:   -62.75 | MTTD:  10 | MTTR: 200 | FPR: 0.011 | CSR: 0
Episode   2000 | Avg Reward:   -62.41 | MTTD:  10 | MTTR:  30 | FPR: 0.013 | CSR: 1
Episode   2500 | Avg Reward:   -59.28 | MTTD:   4 | MTTR:  22 | FPR: 0.009 | CSR: 1
Episode   3000 | Avg Reward:   -75.03 | MTTD:  33 | MTTR:  47 | FPR: 0.011 | CSR: 1
Episode   3500 | Avg Reward:   -88.23 | MTTD:   6 | MTTR:  17 | FPR: 0.009 | CSR: 1
Episode   4000 | Avg Reward:  -101.67 | MTTD:   5 | MTTR:   9 | FPR: 0.008 | CSR: 1
Episode   4500 | Avg Reward:  -118.95 | MTTD:   7 | MTTR:  25 | FPR: 0.011 | CSR: 1
Episode   5000 | Avg Reward:  -203.31 | MTTD:  10 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   5500 | Avg Reward:  -272.15 | MTTD:   5 | MTTR: 200 | FPR: 0.012 | CSR: 0
Episode   6000 | Avg Reward:  -294.43 | MTTD:   5 | MTTR: 200 | FPR: 0.009 | CSR: 0
Episode   6500 | Avg Reward:  -265.71 | MTTD:  13 | MTTR:  22 | FPR: 0.012 | CSR: 1
Episode   7000 | Avg Reward:  -269.93 | MTTD:   9 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   7500 | Avg Reward:  -247.79 | MTTD:   7 | MTTR: 200 | FPR: 0.011 | CSR: 0
Episode   8000 | Avg Reward:  -239.93 | MTTD:   4 | MTTR:  26 | FPR: 0.009 | CSR: 1
Episode   8500 | Avg Reward:  -252.90 | MTTD:   7 | MTTR:  44 | FPR: 0.010 | CSR: 1
Episode   9000 | Avg Reward:  -240.34 | MTTD:   9 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode   9500 | Avg Reward:  -218.41 | MTTD:   8 | MTTR: 200 | FPR: 0.010 | CSR: 0
Episode  10000 | Avg Reward:  -193.48 | MTTD:   5 | MTTR:  22 | FPR: 0.011 | CSR: 1

QMIX training complete. Best reward: 8.77
Logs saved to: checkpoints/train_qmix_seed1024.csv
