Training: mappo, seed=789, episodes=10000
Episode    100 | Reward: -111.29 | MTTD: 200
Episode    200 | Reward: -196.06 | MTTD: 200
Episode    300 | Reward: -915.83 | MTTD: 200
Episode    400 | Reward: -123.45 | MTTD: 200
Episode    500 | Reward: -1000.74 | MTTD: 200
Episode    600 | Reward: -61.61 | MTTD: 200
Episode    700 | Reward: -110.20 | MTTD: 200
Episode    800 | Reward: -155.24 | MTTD: 200
Episode    900 | Reward: -66.49 | MTTD: 200
Episode   1000 | Reward: -82.31 | MTTD: 200
Episode   1100 | Reward: -937.10 | MTTD: 200
Episode   1200 | Reward: -78.16 | MTTD: 200
Episode   1300 | Reward: -197.54 | MTTD: 200
Episode   1400 | Reward: -120.74 | MTTD: 200
Episode   1500 | Reward: -913.35 | MTTD: 200
Episode   1600 | Reward: -98.57 | MTTD: 200
Episode   1700 | Reward: -64.35 | MTTD: 200
Episode   1800 | Reward: -85.38 | MTTD: 200
Episode   1900 | Reward: -50.57 | MTTD: 200
Episode   2000 | Reward: -54.33 | MTTD: 200
Episode   2100 | Reward: -128.60 | MTTD: 200
Episode   2200 | Reward: -120.46 | MTTD: 200
Episode   2300 | Reward: -1014.32 | MTTD: 200
Episode   2400 | Reward: -165.87 | MTTD: 200
Episode   2500 | Reward: -1023.28 | MTTD: 200
Episode   2600 | Reward: -114.94 | MTTD: 200
Episode   2700 | Reward: -912.63 | MTTD: 200
Episode   2800 | Reward: -51.56 | MTTD: 200
Episode   2900 | Reward: -918.96 | MTTD: 200
Episode   3000 | Reward: -88.47 | MTTD: 200
Episode   3100 | Reward: -1.92 | MTTD: 200
Episode   3200 | Reward: -83.80 | MTTD: 200
Episode   3300 | Reward: -154.52 | MTTD: 200
Episode   3400 | Reward: -59.80 | MTTD: 200
Episode   3500 | Reward: -147.26 | MTTD: 200
Episode   3600 | Reward: -54.73 | MTTD: 200
Episode   3700 | Reward: -47.01 | MTTD: 200
Episode   3800 | Reward: -112.39 | MTTD: 200
Episode   3900 | Reward: -10.86 | MTTD: 200
Episode   4000 | Reward: -172.11 | MTTD: 200
Episode   4100 | Reward: -143.67 | MTTD: 200
Episode   4200 | Reward: -151.40 | MTTD: 200
Episode   4300 | Reward: -990.12 | MTTD: 200
Episode   4400 | Reward: -84.67 | MTTD: 200
Episode   4500 | Reward: -131.52 | MTTD: 200
Episode   4600 | Reward: -21.87 | MTTD: 200
Episode   4700 | Reward: -119.05 | MTTD: 200
Episode   4800 | Reward: -172.54 | MTTD: 200
Episode   4900 | Reward: -110.35 | MTTD: 200
Episode   5000 | Reward: -168.76 | MTTD: 200
Episode   5100 | Reward: -162.11 | MTTD: 200
Episode   5200 | Reward: -107.40 | MTTD: 200
Episode   5300 | Reward: -158.04 | MTTD: 200
Episode   5400 | Reward: -56.10 | MTTD: 200
Episode   5500 | Reward: -54.22 | MTTD: 200
Episode   5600 | Reward: -90.71 | MTTD: 200
Episode   5700 | Reward: -102.35 | MTTD: 200
Episode   5800 | Reward: -974.06 | MTTD: 200
Episode   5900 | Reward: -953.27 | MTTD: 200
Episode   6000 | Reward: -78.29 | MTTD: 200
Episode   6100 | Reward: -79.64 | MTTD: 200
Episode   6200 | Reward: -104.08 | MTTD: 200
Episode   6300 | Reward: -57.03 | MTTD: 200
Episode   6400 | Reward: -82.92 | MTTD: 200
Episode   6500 | Reward: -864.67 | MTTD: 200
Episode   6600 | Reward: -158.57 | MTTD: 200
Episode   6700 | Reward: -86.95 | MTTD: 200
Episode   6800 | Reward: -108.53 | MTTD: 200
Episode   6900 | Reward: -91.43 | MTTD: 200
Episode   7000 | Reward: -921.14 | MTTD: 200
Episode   7100 | Reward: -82.45 | MTTD: 200
Episode   7200 | Reward: -135.55 | MTTD: 200
Episode   7300 | Reward: -178.17 | MTTD: 200
Episode   7400 | Reward: -193.60 | MTTD: 200
Episode   7500 | Reward: -146.34 | MTTD: 200
Episode   7600 | Reward: -957.59 | MTTD: 200
Episode   7700 | Reward: -186.58 | MTTD: 200
Episode   7800 | Reward: -184.58 | MTTD: 200
Episode   7900 | Reward: -126.67 | MTTD: 200
Episode   8000 | Reward: -122.18 | MTTD: 200
Episode   8100 | Reward: -107.62 | MTTD: 200
Episode   8200 | Reward: -926.86 | MTTD: 200
Episode   8300 | Reward: -104.39 | MTTD: 200
Episode   8400 | Reward: -109.80 | MTTD: 200
Episode   8500 | Reward: -951.01 | MTTD: 200
Episode   8600 | Reward: -66.94 | MTTD: 200
Episode   8700 | Reward: -81.80 | MTTD: 200
Episode   8800 | Reward: -923.48 | MTTD: 200
Episode   8900 | Reward: -961.46 | MTTD: 200
Episode   9000 | Reward: -216.23 | MTTD: 200
Episode   9100 | Reward: -960.30 | MTTD: 200
Episode   9200 | Reward: -191.59 | MTTD: 200
Episode   9300 | Reward: -75.75 | MTTD: 200
Episode   9400 | Reward: -101.47 | MTTD: 200
Episode   9500 | Reward: -132.66 | MTTD: 200
Episode   9600 | Reward: -889.99 | MTTD: 200
Episode   9700 | Reward: -955.26 | MTTD: 200
Episode   9800 | Reward: -78.17 | MTTD: 200
Episode   9900 | Reward: -57.88 | MTTD: 200
Episode  10000 | Reward: -203.69 | MTTD: 200
MAPPO done. Saved to checkpoints/train_mappo_seed789.csv
Done in 9.0 min
