Training: rule_soar, seed=456, episodes=10000
Episode    100 | Reward: -1962.71 | MTTD: 200
Episode    200 | Reward: -263.30 | MTTD: 200
Episode    300 | Reward: -124.14 | MTTD: 200
Episode    400 | Reward: -190.36 | MTTD: 200
Episode    500 | Reward: -2007.71 | MTTD: 200
Episode    600 | Reward: -282.19 | MTTD: 200
Episode    700 | Reward: -1940.36 | MTTD: 200
Episode    800 | Reward: -162.26 | MTTD: 200
Episode    900 | Reward: -1998.20 | MTTD: 200
Episode   1000 | Reward: -216.01 | MTTD: 200
Episode   1100 | Reward: -1943.86 | MTTD: 200
Episode   1200 | Reward: -138.12 | MTTD: 200
Episode   1300 | Reward: -1987.31 | MTTD: 200
Episode   1400 | Reward: -2010.25 | MTTD: 200
Episode   1500 | Reward: -122.90 | MTTD: 200
Episode   1600 | Reward: -1961.96 | MTTD: 200
Episode   1700 | Reward: -1983.35 | MTTD: 200
Episode   1800 | Reward: -2065.96 | MTTD: 200
Episode   1900 | Reward: -2045.65 | MTTD: 200
Episode   2000 | Reward: -1976.63 | MTTD: 200
Episode   2100 | Reward: -2031.96 | MTTD: 200
Episode   2200 | Reward: -1966.37 | MTTD: 200
Episode   2300 | Reward: -208.85 | MTTD: 200
Episode   2400 | Reward: -82.42 | MTTD: 200
Episode   2500 | Reward: -1940.69 | MTTD: 200
Episode   2600 | Reward: -2026.90 | MTTD: 200
Episode   2700 | Reward: -2011.67 | MTTD: 200
Episode   2800 | Reward: -105.05 | MTTD: 200
Episode   2900 | Reward: -206.27 | MTTD: 200
Episode   3000 | Reward: -2014.30 | MTTD: 200
Episode   3100 | Reward: -1956.36 | MTTD: 200
Episode   3200 | Reward: -2048.13 | MTTD: 200
Episode   3300 | Reward: -206.12 | MTTD: 200
Episode   3400 | Reward: -111.03 | MTTD: 200
Episode   3500 | Reward: -1958.33 | MTTD: 200
Episode   3600 | Reward: -2003.96 | MTTD: 200
Episode   3700 | Reward: -1996.98 | MTTD: 200
Episode   3800 | Reward: -144.93 | MTTD: 200
Episode   3900 | Reward: -2079.90 | MTTD: 200
Episode   4000 | Reward: -210.50 | MTTD: 200
Episode   4100 | Reward: -1987.78 | MTTD: 200
Episode   4200 | Reward: -1957.18 | MTTD: 200
Episode   4300 | Reward: -1996.35 | MTTD: 200
Episode   4400 | Reward: -2056.65 | MTTD: 200
Episode   4500 | Reward: -1964.55 | MTTD: 200
Episode   4600 | Reward: -1942.80 | MTTD: 200
Episode   4700 | Reward: -188.75 | MTTD: 200
Episode   4800 | Reward: -1986.96 | MTTD: 200
Episode   4900 | Reward: -1956.31 | MTTD: 200
Episode   5000 | Reward: -1981.31 | MTTD: 200
Episode   5100 | Reward: -158.94 | MTTD: 200
Episode   5200 | Reward: -412.82 | MTTD: 200
Episode   5300 | Reward: -2007.72 | MTTD: 200
Episode   5400 | Reward: -970.86 | MTTD: 200
Episode   5500 | Reward: -2045.80 | MTTD: 200
Episode   5600 | Reward: -1971.99 | MTTD: 200
Episode   5700 | Reward: -1958.41 | MTTD: 200
Episode   5800 | Reward: -2036.22 | MTTD: 200
Episode   5900 | Reward: -2057.38 | MTTD: 200
Episode   6000 | Reward: -222.22 | MTTD: 200
Episode   6100 | Reward: -1972.56 | MTTD: 200
Episode   6200 | Reward: -189.02 | MTTD: 200
Episode   6300 | Reward: -2075.23 | MTTD: 200
Episode   6400 | Reward: -1994.94 | MTTD: 200
Episode   6500 | Reward: -1982.11 | MTTD: 200
Episode   6600 | Reward: -2062.52 | MTTD: 200
Episode   6700 | Reward: -1965.41 | MTTD: 200
Episode   6800 | Reward: -213.71 | MTTD: 200
Episode   6900 | Reward: -1994.07 | MTTD: 200
Episode   7000 | Reward: -1994.69 | MTTD: 200
Episode   7100 | Reward: -1983.42 | MTTD: 200
Episode   7200 | Reward: -147.72 | MTTD: 200
Episode   7300 | Reward: -1882.49 | MTTD: 200
Episode   7400 | Reward: -132.07 | MTTD: 200
Episode   7500 | Reward: -288.46 | MTTD: 200
Episode   7600 | Reward: -150.97 | MTTD: 200
Episode   7700 | Reward: -2106.39 | MTTD: 200
Episode   7800 | Reward: -1992.75 | MTTD: 200
Episode   7900 | Reward: -2025.72 | MTTD: 200
Episode   8000 | Reward: -132.36 | MTTD: 200
Episode   8100 | Reward: -195.28 | MTTD: 200
Episode   8200 | Reward: -16.82 | MTTD: 200
Episode   8300 | Reward: -1992.42 | MTTD: 200
Episode   8400 | Reward: -249.89 | MTTD: 200
Episode   8500 | Reward: -1948.47 | MTTD: 200
Episode   8600 | Reward: -2013.87 | MTTD: 200
Episode   8700 | Reward: -2029.74 | MTTD: 200
Episode   8800 | Reward: -1999.58 | MTTD: 200
Episode   8900 | Reward: -72.60 | MTTD: 200
Episode   9000 | Reward: -1949.40 | MTTD: 200
Episode   9100 | Reward: -97.74 | MTTD: 200
Episode   9200 | Reward: -104.65 | MTTD: 200
Episode   9300 | Reward: -1999.21 | MTTD: 200
Episode   9400 | Reward: -2077.43 | MTTD: 200
Episode   9500 | Reward: -1974.92 | MTTD: 200
Episode   9600 | Reward: -1956.45 | MTTD: 200
Episode   9700 | Reward: -30.82 | MTTD: 200
Episode   9800 | Reward: -2052.47 | MTTD: 200
Episode   9900 | Reward: -1922.49 | MTTD: 200
Episode  10000 | Reward: -166.13 | MTTD: 200
Rule-SOAR done. Saved to checkpoints/train_rule_soar_seed456.csv
Done in 4.4 min
