Training: iql, seed=123, episodes=10000
Episode    500 | Reward: -8.93 | MTTD: 200
Episode   1000 | Reward: -11.42 | MTTD: 200
Episode   1500 | Reward: 8.01 | MTTD: 200
Episode   2000 | Reward: 8.95 | MTTD: 200
Episode   2500 | Reward: 6.63 | MTTD: 200
Episode   3000 | Reward: 8.70 | MTTD: 200
Episode   3500 | Reward: 5.92 | MTTD: 200
Episode   4000 | Reward: 5.79 | MTTD: 200
Episode   4500 | Reward: 4.40 | MTTD: 200
Episode   5000 | Reward: 1.51 | MTTD: 200
Episode   5500 | Reward: -12.29 | MTTD: 200
Episode   6000 | Reward: -10.03 | MTTD: 200
Episode   6500 | Reward: -9.76 | MTTD: 200
Episode   7000 | Reward: 6.36 | MTTD: 200
Episode   7500 | Reward: 2.96 | MTTD: 200
Episode   8000 | Reward: -15.38 | MTTD: 200
Episode   8500 | Reward: 2.39 | MTTD: 200
Episode   9000 | Reward: -1.49 | MTTD: 200
Episode   9500 | Reward: 1.64 | MTTD: 200
Episode  10000 | Reward: 2.83 | MTTD: 200
IQL done. Saved to checkpoints/train_iql_seed123.csv
Done in 83.1 min
