Device: mps, Seed: 456, Workers: 4
torch.compile: enabled for SC (aot_eager)
Mixed precision: enabled (torch.float16)
Replay buffer: prioritized (standard)
Starting training: 10000 episodes, K=5, workers=4
============================================================
Episode   4100 | Avg Reward:    -3.20 | MTTD: 119 | MTTR: 193 | FPR: 0.001 | CSR: 1 | 2.6 ep/s | ETA: 38m
Episode   4200 | Avg Reward:    -3.79 | MTTD: 109 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.6 ep/s | ETA: 37m
Episode   4300 | Avg Reward:    -2.29 | MTTD:  38 | MTTR: 124 | FPR: 0.002 | CSR: 1 | 2.6 ep/s | ETA: 37m
Episode   4400 | Avg Reward:    -1.88 | MTTD: 200 | MTTR: 200 | FPR: 0.008 | CSR: 0 | 2.6 ep/s | ETA: 36m
Episode   4500 | Avg Reward:    -1.55 | MTTD: 200 | MTTR: 200 | FPR: 0.007 | CSR: 0 | 2.6 ep/s | ETA: 35m
Episode   4600 | Avg Reward:    -1.08 | MTTD: 106 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 34m
Episode   4700 | Avg Reward:    -1.08 | MTTD: 200 | MTTR: 200 | FPR: 0.009 | CSR: 0 | 2.7 ep/s | ETA: 33m
Episode   4800 | Avg Reward:    -2.14 | MTTD: 200 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 32m
Episode   4900 | Avg Reward:     0.11 | MTTD:  34 | MTTR: 107 | FPR: 0.001 | CSR: 1 | 2.7 ep/s | ETA: 31m
Episode   5000 | Avg Reward:     0.81 | MTTD:  58 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 31m
Episode   5100 | Avg Reward:     1.88 | MTTD: 101 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.7 ep/s | ETA: 30m
Episode   5200 | Avg Reward:     3.88 | MTTD:  14 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.7 ep/s | ETA: 29m
Episode   5300 | Avg Reward:     0.95 | MTTD: 200 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 28m
Episode   5400 | Avg Reward:     0.16 | MTTD:  98 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 28m
Episode   5500 | Avg Reward:    -0.91 | MTTD:  32 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 27m
Episode   5600 | Avg Reward:    -0.08 | MTTD:  18 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 26m
Episode   5700 | Avg Reward:     0.01 | MTTD:  58 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 2.8 ep/s | ETA: 26m
Episode   5800 | Avg Reward:     1.77 | MTTD:  15 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.8 ep/s | ETA: 25m
Episode   5900 | Avg Reward:     2.75 | MTTD:  39 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.8 ep/s | ETA: 24m
Episode   6000 | Avg Reward:     3.79 | MTTD:  13 | MTTR:  67 | FPR: 0.002 | CSR: 1 | 2.8 ep/s | ETA: 24m
Episode   6100 | Avg Reward:     3.68 | MTTD:  17 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 2.8 ep/s | ETA: 23m
Episode   6200 | Avg Reward:     4.04 | MTTD:  11 | MTTR:  19 | FPR: 0.000 | CSR: 1 | 2.9 ep/s | ETA: 22m
Episode   6300 | Avg Reward:     3.41 | MTTD:   7 | MTTR: 139 | FPR: 0.000 | CSR: 1 | 2.9 ep/s | ETA: 21m
Episode   6400 | Avg Reward:     2.12 | MTTD:  11 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.9 ep/s | ETA: 21m
Episode   6500 | Avg Reward:     1.29 | MTTD:  29 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 2.9 ep/s | ETA: 20m
Episode   6600 | Avg Reward:     3.49 | MTTD:  15 | MTTR:  52 | FPR: 0.001 | CSR: 1 | 2.9 ep/s | ETA: 20m
Episode   6700 | Avg Reward:     5.34 | MTTD:  31 | MTTR:  70 | FPR: 0.000 | CSR: 1 | 2.9 ep/s | ETA: 19m
Episode   6800 | Avg Reward:     4.15 | MTTD:  10 | MTTR: 100 | FPR: 0.000 | CSR: 1 | 2.9 ep/s | ETA: 18m
Episode   6900 | Avg Reward:     4.33 | MTTD:  13 | MTTR:  49 | FPR: 0.004 | CSR: 1 | 3.0 ep/s | ETA: 17m
Episode   7000 | Avg Reward:     5.03 | MTTD:  11 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.0 ep/s | ETA: 17m
Episode   7100 | Avg Reward:     5.52 | MTTD:   7 | MTTR: 200 | FPR: 0.002 | CSR: 0 | 3.0 ep/s | ETA: 16m
Episode   7200 | Avg Reward:     4.49 | MTTD:  14 | MTTR:  24 | FPR: 0.001 | CSR: 1 | 3.0 ep/s | ETA: 15m
Episode   7300 | Avg Reward:     7.49 | MTTD:  10 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 3.1 ep/s | ETA: 15m
Episode   7400 | Avg Reward:     7.22 | MTTD:  56 | MTTR: 124 | FPR: 0.003 | CSR: 1 | 3.1 ep/s | ETA: 14m
Episode   7500 | Avg Reward:     5.04 | MTTD:  10 | MTTR:  83 | FPR: 0.001 | CSR: 1 | 3.1 ep/s | ETA: 13m
Episode   7600 | Avg Reward:     5.82 | MTTD:  12 | MTTR:  38 | FPR: 0.002 | CSR: 1 | 3.1 ep/s | ETA: 13m
Episode   7700 | Avg Reward:     5.34 | MTTD:   9 | MTTR: 200 | FPR: 0.000 | CSR: 0 | 3.2 ep/s | ETA: 12m
Episode   7800 | Avg Reward:     3.97 | MTTD:  13 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.2 ep/s | ETA: 12m
Episode   7900 | Avg Reward:     6.34 | MTTD:  11 | MTTR:  41 | FPR: 0.001 | CSR: 1 | 3.2 ep/s | ETA: 11m
Episode   8000 | Avg Reward:     6.45 | MTTD:   6 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.2 ep/s | ETA: 10m
Episode   8100 | Avg Reward:     6.67 | MTTD:  46 | MTTR:  77 | FPR: 0.002 | CSR: 1 | 3.2 ep/s | ETA: 10m
Episode   8200 | Avg Reward:     7.74 | MTTD:   7 | MTTR:  15 | FPR: 0.000 | CSR: 1 | 3.3 ep/s | ETA: 9m
Episode   8300 | Avg Reward:     5.90 | MTTD:   9 | MTTR:  28 | FPR: 0.001 | CSR: 1 | 3.3 ep/s | ETA: 9m
Episode   8400 | Avg Reward:     7.66 | MTTD:   7 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.3 ep/s | ETA: 8m
Episode   8500 | Avg Reward:     7.34 | MTTD:  17 | MTTR:  26 | FPR: 0.001 | CSR: 1 | 3.3 ep/s | ETA: 8m
Episode   8600 | Avg Reward:     4.88 | MTTD:   7 | MTTR: 200 | FPR: 0.001 | CSR: 0 | 3.3 ep/s | ETA: 7m
Episode   8700 | Avg Reward:     6.18 | MTTD:   4 | MTTR:  40 | FPR: 0.003 | CSR: 1 | 3.3 ep/s | ETA: 6m
Episode   8800 | Avg Reward:     6.44 | MTTD:   5 | MTTR:  43 | FPR: 0.001 | CSR: 1 | 3.4 ep/s | ETA: 6m
Episode   8900 | Avg Reward:     7.53 | MTTD:  16 | MTTR:  18 | FPR: 0.000 | CSR: 1 | 3.4 ep/s | ETA: 5m
