Training: mappo, seed=1024, episodes=10000
Episode    100 | Reward: -215.15 | MTTD: 200
Episode    200 | Reward: -54.64 | MTTD: 200
Episode    300 | Reward: -882.58 | MTTD: 200
Episode    400 | Reward: -929.82 | MTTD: 200
Episode    500 | Reward: -128.65 | MTTD: 200
Episode    600 | Reward: -950.19 | MTTD: 200
Episode    700 | Reward: -88.82 | MTTD: 200
Episode    800 | Reward: -93.60 | MTTD: 200
Episode    900 | Reward: -157.50 | MTTD: 200
Episode   1000 | Reward: -914.97 | MTTD: 200
Episode   1100 | Reward: -98.55 | MTTD: 200
Episode   1200 | Reward: -106.90 | MTTD: 200
Episode   1300 | Reward: -977.15 | MTTD: 200
Episode   1400 | Reward: -68.54 | MTTD: 200
Episode   1500 | Reward: -100.85 | MTTD: 200
Episode   1600 | Reward: -933.45 | MTTD: 200
Episode   1700 | Reward: -98.50 | MTTD: 200
Episode   1800 | Reward: -103.33 | MTTD: 200
Episode   1900 | Reward: -93.41 | MTTD: 200
Episode   2000 | Reward: -94.55 | MTTD: 200
Episode   2100 | Reward: -228.23 | MTTD: 200
Episode   2200 | Reward: -96.42 | MTTD: 200
Episode   2300 | Reward: -915.06 | MTTD: 200
Episode   2400 | Reward: -158.00 | MTTD: 200
Episode   2500 | Reward: -935.71 | MTTD: 200
Episode   2600 | Reward: -136.63 | MTTD: 200
Episode   2700 | Reward: -885.55 | MTTD: 200
Episode   2800 | Reward: -88.80 | MTTD: 200
Episode   2900 | Reward: -883.29 | MTTD: 200
Episode   3000 | Reward: -122.46 | MTTD: 200
Episode   3100 | Reward: -933.84 | MTTD: 200
Episode   3200 | Reward: -917.73 | MTTD: 200
Episode   3300 | Reward: -37.03 | MTTD: 200
Episode   3400 | Reward: -102.23 | MTTD: 200
Episode   3500 | Reward: -38.52 | MTTD: 200
Episode   3600 | Reward: -155.03 | MTTD: 200
Episode   3700 | Reward: -204.55 | MTTD: 200
Episode   3800 | Reward: -203.23 | MTTD: 200
Episode   3900 | Reward: -370.73 | MTTD: 200
Episode   4000 | Reward: -272.35 | MTTD: 200
Episode   4100 | Reward: -184.90 | MTTD: 200
Episode   4200 | Reward: -24.30 | MTTD: 200
Episode   4300 | Reward: -84.30 | MTTD: 200
Episode   4400 | Reward: -58.01 | MTTD: 200
Episode   4500 | Reward: -82.08 | MTTD: 200
Episode   4600 | Reward: -910.86 | MTTD: 200
Episode   4700 | Reward: -925.06 | MTTD: 200
Episode   4800 | Reward: -49.53 | MTTD: 200
Episode   4900 | Reward: -121.16 | MTTD: 200
Episode   5000 | Reward: -97.25 | MTTD: 200
Episode   5100 | Reward: -883.13 | MTTD: 200
Episode   5200 | Reward: -107.46 | MTTD: 200
Episode   5300 | Reward: -102.80 | MTTD: 200
Episode   5400 | Reward: -113.81 | MTTD: 200
Episode   5500 | Reward: -162.89 | MTTD: 200
Episode   5600 | Reward: -94.74 | MTTD: 200
Episode   5700 | Reward: -70.02 | MTTD: 200
Episode   5800 | Reward: -46.60 | MTTD: 200
Episode   5900 | Reward: -109.45 | MTTD: 200
Episode   6000 | Reward: -44.59 | MTTD: 200
Episode   6100 | Reward: -34.24 | MTTD: 200
Episode   6200 | Reward: -125.24 | MTTD: 200
Episode   6300 | Reward: -911.08 | MTTD: 200
Episode   6400 | Reward: -108.91 | MTTD: 200
Episode   6500 | Reward: -967.82 | MTTD: 200
Episode   6600 | Reward: -186.73 | MTTD: 200
Episode   6700 | Reward: -75.42 | MTTD: 200
Episode   6800 | Reward: -888.88 | MTTD: 200
Episode   6900 | Reward: -54.23 | MTTD: 200
Episode   7000 | Reward: -250.76 | MTTD: 200
Episode   7100 | Reward: -99.42 | MTTD: 200
Episode   7200 | Reward: -161.66 | MTTD: 200
Episode   7300 | Reward: -223.32 | MTTD: 200
Episode   7400 | Reward: -455.55 | MTTD: 200
Episode   7500 | Reward: -921.42 | MTTD: 200
Episode   7600 | Reward: -57.38 | MTTD: 200
Episode   7700 | Reward: -62.04 | MTTD: 200
Episode   7800 | Reward: -888.97 | MTTD: 200
Episode   7900 | Reward: -82.95 | MTTD: 200
Episode   8000 | Reward: -960.03 | MTTD: 200
Episode   8100 | Reward: -157.74 | MTTD: 200
Episode   8200 | Reward: -906.55 | MTTD: 200
Episode   8300 | Reward: -247.47 | MTTD: 200
Episode   8400 | Reward: -996.14 | MTTD: 200
Episode   8500 | Reward: -930.05 | MTTD: 200
Episode   8600 | Reward: -63.20 | MTTD: 200
Episode   8700 | Reward: -79.93 | MTTD: 200
Episode   8800 | Reward: -97.06 | MTTD: 200
Episode   8900 | Reward: -95.08 | MTTD: 200
Episode   9000 | Reward: -101.67 | MTTD: 200
Episode   9100 | Reward: -33.85 | MTTD: 200
Episode   9200 | Reward: -117.46 | MTTD: 200
Episode   9300 | Reward: -161.61 | MTTD: 200
Episode   9400 | Reward: -130.74 | MTTD: 200
Episode   9500 | Reward: -90.11 | MTTD: 200
Episode   9600 | Reward: -171.93 | MTTD: 200
Episode   9700 | Reward: -260.35 | MTTD: 200
Episode   9800 | Reward: -20.47 | MTTD: 200
Episode   9900 | Reward: -189.78 | MTTD: 200
Episode  10000 | Reward: -150.11 | MTTD: 200
MAPPO done. Saved to checkpoints/train_mappo_seed1024.csv
Done in 10.4 min
