Training: rule_soar, seed=1024, episodes=10000
Episode    100 | Reward: -2018.06 | MTTD: 200
Episode    200 | Reward: -1944.75 | MTTD: 200
Episode    300 | Reward: -2020.76 | MTTD: 200
Episode    400 | Reward: -206.71 | MTTD: 200
Episode    500 | Reward: -1947.18 | MTTD: 200
Episode    600 | Reward: -298.28 | MTTD: 200
Episode    700 | Reward: -257.17 | MTTD: 200
Episode    800 | Reward: -1981.71 | MTTD: 200
Episode    900 | Reward: -2044.67 | MTTD: 200
Episode   1000 | Reward: -116.74 | MTTD: 200
Episode   1100 | Reward: -79.65 | MTTD: 200
Episode   1200 | Reward: -143.94 | MTTD: 200
Episode   1300 | Reward: -1995.96 | MTTD: 200
Episode   1400 | Reward: -1971.96 | MTTD: 200
Episode   1500 | Reward: -2005.05 | MTTD: 200
Episode   1600 | Reward: -1958.89 | MTTD: 200
Episode   1700 | Reward: -127.50 | MTTD: 200
Episode   1800 | Reward: -136.98 | MTTD: 200
Episode   1900 | Reward: -31.82 | MTTD: 200
Episode   2000 | Reward: -130.36 | MTTD: 200
Episode   2100 | Reward: -2092.33 | MTTD: 200
Episode   2200 | Reward: -269.00 | MTTD: 200
Episode   2300 | Reward: -2062.39 | MTTD: 200
Episode   2400 | Reward: -1968.04 | MTTD: 200
Episode   2500 | Reward: -227.80 | MTTD: 200
Episode   2600 | Reward: -1981.46 | MTTD: 200
Episode   2700 | Reward: -150.41 | MTTD: 200
Episode   2800 | Reward: -283.72 | MTTD: 200
Episode   2900 | Reward: -110.05 | MTTD: 200
Episode   3000 | Reward: -2023.14 | MTTD: 200
Episode   3100 | Reward: -268.81 | MTTD: 200
Episode   3200 | Reward: -2004.13 | MTTD: 200
Episode   3300 | Reward: -1921.83 | MTTD: 200
Episode   3400 | Reward: -1947.00 | MTTD: 200
Episode   3500 | Reward: -99.14 | MTTD: 200
Episode   3600 | Reward: -2020.47 | MTTD: 200
Episode   3700 | Reward: -2017.81 | MTTD: 200
Episode   3800 | Reward: -2037.80 | MTTD: 200
Episode   3900 | Reward: -226.73 | MTTD: 200
Episode   4000 | Reward: -38.82 | MTTD: 200
Episode   4100 | Reward: -320.81 | MTTD: 200
Episode   4200 | Reward: -94.96 | MTTD: 200
Episode   4300 | Reward: -1962.71 | MTTD: 200
Episode   4400 | Reward: -361.44 | MTTD: 200
Episode   4500 | Reward: -1972.52 | MTTD: 200
Episode   4600 | Reward: -1929.59 | MTTD: 200
Episode   4700 | Reward: -1981.23 | MTTD: 200
Episode   4800 | Reward: -1999.28 | MTTD: 200
Episode   4900 | Reward: -1967.42 | MTTD: 200
Episode   5000 | Reward: -457.47 | MTTD: 200
Episode   5100 | Reward: -1993.25 | MTTD: 200
Episode   5200 | Reward: -213.00 | MTTD: 200
Episode   5300 | Reward: -1958.69 | MTTD: 200
Episode   5400 | Reward: -1959.05 | MTTD: 200
Episode   5500 | Reward: -266.99 | MTTD: 200
Episode   5600 | Reward: -375.34 | MTTD: 200
Episode   5700 | Reward: -1975.05 | MTTD: 200
Episode   5800 | Reward: -2030.30 | MTTD: 200
Episode   5900 | Reward: -2015.56 | MTTD: 200
Episode   6000 | Reward: -1985.73 | MTTD: 200
Episode   6100 | Reward: -2028.72 | MTTD: 200
Episode   6200 | Reward: -291.96 | MTTD: 200
Episode   6300 | Reward: -102.02 | MTTD: 200
Episode   6400 | Reward: -2010.56 | MTTD: 200
Episode   6500 | Reward: -394.62 | MTTD: 200
Episode   6600 | Reward: -1988.96 | MTTD: 200
Episode   6700 | Reward: -1928.36 | MTTD: 200
Episode   6800 | Reward: -2058.82 | MTTD: 200
Episode   6900 | Reward: -2019.45 | MTTD: 200
Episode   7000 | Reward: -2042.39 | MTTD: 200
Episode   7100 | Reward: -1938.60 | MTTD: 200
Episode   7200 | Reward: -1985.36 | MTTD: 200
Episode   7300 | Reward: -1927.15 | MTTD: 200
Episode   7400 | Reward: -1966.70 | MTTD: 200
Episode   7500 | Reward: -1974.82 | MTTD: 200
Episode   7600 | Reward: -2000.43 | MTTD: 200
Episode   7700 | Reward: -107.06 | MTTD: 200
Episode   7800 | Reward: -109.13 | MTTD: 200
Episode   7900 | Reward: -260.15 | MTTD: 200
Episode   8000 | Reward: -1952.64 | MTTD: 200
Episode   8100 | Reward: -1976.13 | MTTD: 200
Episode   8200 | Reward: -2009.59 | MTTD: 200
Episode   8300 | Reward: -155.38 | MTTD: 200
Episode   8400 | Reward: -223.83 | MTTD: 200
Episode   8500 | Reward: -1945.31 | MTTD: 200
Episode   8600 | Reward: -78.74 | MTTD: 200
Episode   8700 | Reward: -1943.31 | MTTD: 200
Episode   8800 | Reward: -1986.87 | MTTD: 200
Episode   8900 | Reward: -213.13 | MTTD: 200
Episode   9000 | Reward: -146.64 | MTTD: 200
Episode   9100 | Reward: -2063.79 | MTTD: 200
Episode   9200 | Reward: -106.10 | MTTD: 200
Episode   9300 | Reward: -1976.97 | MTTD: 200
Episode   9400 | Reward: -296.49 | MTTD: 200
Episode   9500 | Reward: -2012.23 | MTTD: 200
Episode   9600 | Reward: -1976.02 | MTTD: 200
Episode   9700 | Reward: -212.53 | MTTD: 200
Episode   9800 | Reward: -328.72 | MTTD: 200
Episode   9900 | Reward: -161.74 | MTTD: 200
Episode  10000 | Reward: -2034.32 | MTTD: 200
Rule-SOAR done. Saved to checkpoints/train_rule_soar_seed1024.csv
Done in 5.0 min
