Training: iql, seed=42, episodes=10000
Episode    500 | Reward: -66.35 | MTTD: 200
Episode   1000 | Reward: 5.42 | MTTD: 200
Episode   1500 | Reward: 7.95 | MTTD: 200
Episode   2000 | Reward: 5.94 | MTTD: 200
Episode   2500 | Reward: 7.96 | MTTD: 200
Episode   3000 | Reward: 6.46 | MTTD: 200
Episode   3500 | Reward: -14.64 | MTTD: 200
Episode   4000 | Reward: 2.00 | MTTD: 200
Episode   4500 | Reward: 5.78 | MTTD: 200
Episode   5000 | Reward: 9.24 | MTTD: 200
Episode   5500 | Reward: -7.68 | MTTD: 200
Episode   6000 | Reward: 2.56 | MTTD: 200
Episode   6500 | Reward: 2.99 | MTTD: 200
Episode   7000 | Reward: 6.22 | MTTD: 200
Episode   7500 | Reward: -12.23 | MTTD: 200
Episode   8000 | Reward: 9.33 | MTTD: 200
Episode   8500 | Reward: -8.52 | MTTD: 200
Episode   9000 | Reward: 7.43 | MTTD: 200
Episode   9500 | Reward: 5.15 | MTTD: 200
Episode  10000 | Reward: 9.25 | MTTD: 200
IQL done. Saved to checkpoints/train_iql_seed42.csv
Done in 80.0 min
