Training: rule_soar, seed=789, episodes=10000
Episode    100 | Reward: -1986.35 | MTTD: 200
Episode    200 | Reward: -62.62 | MTTD: 200
Episode    300 | Reward: -1985.88 | MTTD: 200
Episode    400 | Reward: -1999.88 | MTTD: 200
Episode    500 | Reward: -315.01 | MTTD: 200
Episode    600 | Reward: -1989.50 | MTTD: 200
Episode    700 | Reward: -230.96 | MTTD: 200
Episode    800 | Reward: -169.22 | MTTD: 200
Episode    900 | Reward: -234.05 | MTTD: 200
Episode   1000 | Reward: -1915.34 | MTTD: 200
Episode   1100 | Reward: -220.55 | MTTD: 200
Episode   1200 | Reward: -2026.66 | MTTD: 200
Episode   1300 | Reward: -2017.36 | MTTD: 200
Episode   1400 | Reward: -2010.59 | MTTD: 200
Episode   1500 | Reward: -2023.97 | MTTD: 200
Episode   1600 | Reward: -1964.44 | MTTD: 200
Episode   1700 | Reward: -123.55 | MTTD: 200
Episode   1800 | Reward: -249.42 | MTTD: 200
Episode   1900 | Reward: -347.14 | MTTD: 200
Episode   2000 | Reward: -1962.36 | MTTD: 200
Episode   2100 | Reward: -196.58 | MTTD: 200
Episode   2200 | Reward: -66.22 | MTTD: 200
Episode   2300 | Reward: -1965.64 | MTTD: 200
Episode   2400 | Reward: -1957.44 | MTTD: 200
Episode   2500 | Reward: -2034.82 | MTTD: 200
Episode   2600 | Reward: -1965.39 | MTTD: 200
Episode   2700 | Reward: -2019.56 | MTTD: 200
Episode   2800 | Reward: -170.10 | MTTD: 200
Episode   2900 | Reward: -2020.43 | MTTD: 200
Episode   3000 | Reward: -291.40 | MTTD: 200
Episode   3100 | Reward: -2014.67 | MTTD: 200
Episode   3200 | Reward: -124.85 | MTTD: 200
Episode   3300 | Reward: -419.37 | MTTD: 200
Episode   3400 | Reward: -2062.37 | MTTD: 200
Episode   3500 | Reward: -178.31 | MTTD: 200
Episode   3600 | Reward: -334.89 | MTTD: 200
Episode   3700 | Reward: -2017.58 | MTTD: 200
Episode   3800 | Reward: -1972.98 | MTTD: 200
Episode   3900 | Reward: -1978.35 | MTTD: 200
Episode   4000 | Reward: -179.49 | MTTD: 200
Episode   4100 | Reward: -2006.16 | MTTD: 200
Episode   4200 | Reward: -206.64 | MTTD: 200
Episode   4300 | Reward: -2030.21 | MTTD: 200
Episode   4400 | Reward: -235.52 | MTTD: 200
Episode   4500 | Reward: -2026.95 | MTTD: 200
Episode   4600 | Reward: -2066.02 | MTTD: 200
Episode   4700 | Reward: -2051.44 | MTTD: 200
Episode   4800 | Reward: -121.98 | MTTD: 200
Episode   4900 | Reward: -2003.98 | MTTD: 200
Episode   5000 | Reward: -136.70 | MTTD: 200
Episode   5100 | Reward: -139.41 | MTTD: 200
Episode   5200 | Reward: -167.78 | MTTD: 200
Episode   5300 | Reward: -2018.03 | MTTD: 200
Episode   5400 | Reward: -1990.90 | MTTD: 200
Episode   5500 | Reward: -2038.67 | MTTD: 200
Episode   5600 | Reward: -1908.09 | MTTD: 200
Episode   5700 | Reward: -1982.01 | MTTD: 200
Episode   5800 | Reward: -144.35 | MTTD: 200
Episode   5900 | Reward: -220.13 | MTTD: 200
Episode   6000 | Reward: -2014.78 | MTTD: 200
Episode   6100 | Reward: -2052.54 | MTTD: 200
Episode   6200 | Reward: -162.51 | MTTD: 200
Episode   6300 | Reward: -124.08 | MTTD: 200
Episode   6400 | Reward: -348.37 | MTTD: 200
Episode   6500 | Reward: -2000.95 | MTTD: 200
Episode   6600 | Reward: -1959.21 | MTTD: 200
Episode   6700 | Reward: -1982.74 | MTTD: 200
Episode   6800 | Reward: -2020.30 | MTTD: 200
Episode   6900 | Reward: -2015.36 | MTTD: 200
Episode   7000 | Reward: -209.88 | MTTD: 200
Episode   7100 | Reward: -130.25 | MTTD: 200
Episode   7200 | Reward: -1982.54 | MTTD: 200
Episode   7300 | Reward: -196.16 | MTTD: 200
Episode   7400 | Reward: -275.12 | MTTD: 200
Episode   7500 | Reward: -177.89 | MTTD: 200
Episode   7600 | Reward: -222.49 | MTTD: 200
Episode   7700 | Reward: -24.82 | MTTD: 200
Episode   7800 | Reward: -108.34 | MTTD: 200
Episode   7900 | Reward: -125.62 | MTTD: 200
Episode   8000 | Reward: -144.45 | MTTD: 200
Episode   8100 | Reward: -1884.87 | MTTD: 200
Episode   8200 | Reward: -187.90 | MTTD: 200
Episode   8300 | Reward: -2020.67 | MTTD: 200
Episode   8400 | Reward: -2004.64 | MTTD: 200
Episode   8500 | Reward: -1969.25 | MTTD: 200
Episode   8600 | Reward: -263.63 | MTTD: 200
Episode   8700 | Reward: -279.54 | MTTD: 200
Episode   8800 | Reward: -45.82 | MTTD: 200
Episode   8900 | Reward: -225.29 | MTTD: 200
Episode   9000 | Reward: -2015.23 | MTTD: 200
Episode   9100 | Reward: -2063.35 | MTTD: 200
Episode   9200 | Reward: -1909.49 | MTTD: 200
Episode   9300 | Reward: -2039.32 | MTTD: 200
Episode   9400 | Reward: -1965.53 | MTTD: 200
Episode   9500 | Reward: -88.53 | MTTD: 200
Episode   9600 | Reward: -1925.62 | MTTD: 200
Episode   9700 | Reward: -2031.94 | MTTD: 200
Episode   9800 | Reward: -139.55 | MTTD: 200
Episode   9900 | Reward: -1926.44 | MTTD: 200
Episode  10000 | Reward: -2018.41 | MTTD: 200
Rule-SOAR done. Saved to checkpoints/train_rule_soar_seed789.csv
Done in 4.4 min
