Device: mps, Seed: 42
Starting QMIX training: 10000 episodes
============================================================
Episode   5600 | Avg Reward:   -44.10 | MTTD:   9 | MTTR: 194 | FPR: 0.754 | CSR: 1
Episode   5700 | Avg Reward:   -46.01 | MTTD:   4 | MTTR:  12 | FPR: 0.667 | CSR: 1
Episode   5800 | Avg Reward:   -42.38 | MTTD:  13 | MTTR:  19 | FPR: 2.000 | CSR: 1
Episode   5900 | Avg Reward:   -42.91 | MTTD:  31 | MTTR:  91 | FPR: 0.794 | CSR: 1
Episode   6000 | Avg Reward:   -43.98 | MTTD:   5 | MTTR:  10 | FPR: 1.167 | CSR: 1
Episode   6100 | Avg Reward:   -41.60 | MTTD:  11 | MTTR: 200 | FPR: 0.308 | CSR: 0
Episode   6200 | Avg Reward:   -50.36 | MTTD:  17 | MTTR: 200 | FPR: 0.780 | CSR: 0
Episode   6300 | Avg Reward:   -52.84 | MTTD:   4 | MTTR:   5 | FPR: 3.000 | CSR: 1
Episode   6400 | Avg Reward:   -38.98 | MTTD:  13 | MTTR:  13 | FPR: 2.333 | CSR: 1
Episode   6500 | Avg Reward:   -49.91 | MTTD:   7 | MTTR: 117 | FPR: 0.293 | CSR: 1
Episode   6600 | Avg Reward:   -48.54 | MTTD:   7 | MTTR:  16 | FPR: 0.857 | CSR: 1
Episode   6700 | Avg Reward:   -53.03 | MTTD:  10 | MTTR:  19 | FPR: 1.091 | CSR: 1
Episode   6800 | Avg Reward:   -48.18 | MTTD:   7 | MTTR:  23 | FPR: 1.500 | CSR: 1
Episode   6900 | Avg Reward:   -37.61 | MTTD:  16 | MTTR: 186 | FPR: 0.286 | CSR: 1
Episode   7000 | Avg Reward:   -42.26 | MTTD:   8 | MTTR:  24 | FPR: 0.600 | CSR: 1
Episode   7100 | Avg Reward:   -48.39 | MTTD:  17 | MTTR: 200 | FPR: 0.493 | CSR: 0
Episode   7200 | Avg Reward:   -52.56 | MTTD:  11 | MTTR:  24 | FPR: 0.929 | CSR: 1
Episode   7300 | Avg Reward:   -45.44 | MTTD:   8 | MTTR:  58 | FPR: 0.938 | CSR: 1
Episode   7400 | Avg Reward:   -45.82 | MTTD:  11 | MTTR: 104 | FPR: 1.456 | CSR: 1
Episode   7500 | Avg Reward:   -51.41 | MTTD:  26 | MTTR: 200 | FPR: 0.876 | CSR: 0
Episode   7600 | Avg Reward:   -41.47 | MTTD:  10 | MTTR:  26 | FPR: 1.867 | CSR: 1
Episode   7700 | Avg Reward:   -45.26 | MTTD:  11 | MTTR: 200 | FPR: 0.585 | CSR: 0
Episode   7800 | Avg Reward:   -47.33 | MTTD:   5 | MTTR: 200 | FPR: 0.990 | CSR: 0
Episode   7900 | Avg Reward:   -52.86 | MTTD:  16 | MTTR:  67 | FPR: 1.692 | CSR: 1
Episode   8000 | Avg Reward:   -41.93 | MTTD:  12 | MTTR: 200 | FPR: 0.872 | CSR: 0
Episode   8100 | Avg Reward:   -46.00 | MTTD:   8 | MTTR: 200 | FPR: 0.444 | CSR: 0
Episode   8200 | Avg Reward:   -46.81 | MTTD:   7 | MTTR: 200 | FPR: 0.562 | CSR: 0
Episode   8300 | Avg Reward:   -48.21 | MTTD:   6 | MTTR:  20 | FPR: 0.727 | CSR: 1
Episode   8400 | Avg Reward:   -42.51 | MTTD:   6 | MTTR:   6 | FPR: 0.667 | CSR: 1
Episode   8500 | Avg Reward:   -49.90 | MTTD:   8 | MTTR: 200 | FPR: 0.290 | CSR: 0
Episode   8600 | Avg Reward:   -55.11 | MTTD:   9 | MTTR: 113 | FPR: 1.459 | CSR: 1
Episode   8700 | Avg Reward:   -47.95 | MTTD:  14 | MTTR:  20 | FPR: 0.688 | CSR: 1
Episode   8800 | Avg Reward:   -48.90 | MTTD:  11 | MTTR: 109 | FPR: 0.461 | CSR: 1
Episode   8900 | Avg Reward:   -51.81 | MTTD:  16 | MTTR: 200 | FPR: 1.150 | CSR: 0
Episode   9000 | Avg Reward:   -51.65 | MTTD:   4 | MTTR: 200 | FPR: 0.375 | CSR: 0
Episode   9100 | Avg Reward:   -41.55 | MTTD:   7 | MTTR: 172 | FPR: 0.343 | CSR: 1
Episode   9200 | Avg Reward:   -43.80 | MTTD:   7 | MTTR: 200 | FPR: 1.066 | CSR: 0
Episode   9300 | Avg Reward:   -50.56 | MTTD:   9 | MTTR:  24 | FPR: 2.308 | CSR: 1
Episode   9400 | Avg Reward:   -42.40 | MTTD:  18 | MTTR: 151 | FPR: 0.864 | CSR: 1
Episode   9500 | Avg Reward:   -47.86 | MTTD:  12 | MTTR:  52 | FPR: 2.600 | CSR: 1
Episode   9600 | Avg Reward:   -44.47 | MTTD:   9 | MTTR: 200 | FPR: 0.238 | CSR: 0
Episode   9700 | Avg Reward:   -46.21 | MTTD:  17 | MTTR: 180 | FPR: 0.768 | CSR: 1
Episode   9800 | Avg Reward:   -48.14 | MTTD:   7 | MTTR: 200 | FPR: 0.500 | CSR: 0
Episode   9900 | Avg Reward:   -53.11 | MTTD:   5 | MTTR: 200 | FPR: 1.178 | CSR: 0
Episode  10000 | Avg Reward:   -48.21 | MTTD:   7 | MTTR: 200 | FPR: 1.121 | CSR: 0

QMIX training complete. Best reward: 14.74
Logs saved to: checkpoints/train_qmix_seed42.csv
